season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2022,11,LV,0.1041,0.4194,0.6129,9.5135,62
2022,11,MIN,-0.3696,0.2593,0.6852,7.2667,54
2022,11,NE,-0.1309,0.4068,0.5593,4.7037,59
2022,11,NO,0.0893,0.5,0.5926,8.3571,54
2022,11,NYG,-0.022,0.4521,0.6438,8.5682,73
2022,11,NYJ,-0.42,0.2041,0.5306,8.9091,49
2022,11,PHI,-0.1342,0.4915,0.4746,8.12,59
2022,11,PIT,-0.0386,0.3824,0.6471,10.0476,68
2022,11,SF,0.3718,0.5636,0.5273,6.069,55
2022,11,TEN,0.2408,0.4918,0.5246,8.8276,61
2022,11,WAS,-0.0638,0.4179,0.403,8.8889,67
2022,12,ARI,0.0581,0.4219,0.4688,10.4828,64
2022,12,ATL,0.0181,0.4727,0.4727,5.84,55
2022,12,BAL,0.1119,0.4853,0.5,11.75,68
2022,12,BUF,0.0999,0.4865,0.6081,10.2619,74
2022,12,CAR,0.083,0.4219,0.2969,10.2105,64
2022,12,CHI,-0.0632,0.3818,0.4909,6.88,55
2022,12,CIN,0.1366,0.4516,0.6129,6.6216,62
2022,12,CLE,0.025,0.3733,0.5467,11.3514,75
2022,12,DAL,0.1424,0.4559,0.4412,11.7333,68
2022,12,DEN,-0.2673,0.3333,0.6667,10.6,57
2022,12,DET,0.035,0.4559,0.5735,6.8378,68
2022,12,GB,0.1893,0.5,0.5833,7.44,48
2022,12,HOU,-0.388,0.2833,0.75,5.3846,60
2022,12,IND,-0.1619,0.4194,0.5968,6.2941,62
2022,12,JAX,0.0483,0.4032,0.6774,6.6757,62
2022,12,KC,0.128,0.5139,0.5833,6.2143,72
2022,12,LA,-0.2274,0.3148,0.5,5.9583,54
2022,12,LAC,0.0691,0.4688,0.8125,3.7447,64
2022,12,LV,0.2079,0.5065,0.4805,8.5833,77
2022,12,MIA,-0.1063,0.3676,0.6618,11.625,68
2022,12,MIN,0.064,0.4615,0.6,5.6842,65
2022,12,NE,0.0711,0.4259,0.7593,8.1579,54
2022,12,NO,-0.2686,0.3585,0.5849,8.2,53
2022,12,NYG,-0.0691,0.4107,0.625,7.25,56
2022,12,NYJ,0.2455,0.5,0.5,5.3448,60
2022,12,PHI,0.2002,0.5128,0.3846,7.0357,78
2022,12,PIT,0.1179,0.5373,0.4776,5.8214,67
2022,12,SEA,0.0338,0.5323,0.6452,7.8108,62
2022,12,SF,-0.0206,0.4,0.5846,5.6216,65
2022,12,TB,-0.0333,0.3788,0.697,9.093,66
2022,12,TEN,0.06,0.4107,0.625,8.3824,56
2022,12,WAS,0.1235,0.5254,0.3898,6.3478,59
2022,13,ATL,-0.0088,0.5094,0.4717,15.5833,53
2022,13,BAL,-0.1409,0.3824,0.5882,6.4167,68
2022,13,BUF,0.1698,0.4559,0.5147,8.0909,68
2022,13,CHI,0.1237,0.449,0.5102,10.4,49
2022,13,CIN,0.2609,0.5625,0.5,7.4516,64
2022,13,CLE,-0.2321,0.3793,0.3966,6.1818,58
2022,13,DAL,0.2136,0.4545,0.4848,6.9,66
2022,13,DEN,-0.1351,0.3462,0.4615,10.1364,52
2022,13,DET,0.2865,0.5417,0.5972,6,72
2022,13,GB,0.1838,0.4839,0.5161,10.4516,62
2022,13,HOU,-0.4436,0.4032,0.6452,8.9744,62
2022,13,IND,-0.2983,0.3768,0.5942,5.8919,69
2022,13,JAX,-0.0887,0.4107,0.6607,8.1471,56
2022,13,KC,0.239,0.537,0.537,9.4444,54
2022,13,LA,-0.0454,0.4444,0.4762,9.8846,63
2022,13,LAC,-0.1051,0.3836,0.7123,7.9787,73
2022,13,LV,-0.0889,0.4068,0.5085,11.5,59
2022,13,MIA,-0.3282,0.4222,0.8222,11.5588,45
2022,13,MIN,0.0127,0.4062,0.5781,9.4,64
2022,13,NE,-0.0259,0.3922,0.7255,6.2778,51
2022,13,NO,-0.0299,0.3929,0.5536,7.2414,56
2022,13,NYG,-0.1003,0.4516,0.5323,6.4483,62
2022,13,NYJ,-0.0512,0.4096,0.7108,8,83
2022,13,PHI,0.3204,0.5224,0.6418,9.6098,67
2022,13,PIT,0.1801,0.5469,0.4375,8.9643,64
2022,13,SEA,0.1457,0.5312,0.6719,6.7692,64
2022,13,SF,-0.0022,0.4211,0.5921,5.9512,76
2022,13,TB,-0.0265,0.4595,0.7432,5.6852,74
2022,13,TEN,-0.2319,0.283,0.6038,6.3077,53
2022,13,WAS,0.0428,0.4444,0.5679,7.7805,81
2022,14,ARI,-0.382,0.4203,0.6812,7.3902,69
2022,14,BAL,0.0503,0.4386,0.3333,7.8824,57
2022,14,BUF,-0.1042,0.3396,0.566,8.2963,53
2022,14,CAR,0.1674,0.5211,0.3662,3.6667,71
2022,14,CIN,0.0366,0.431,0.6034,6.8182,58
2022,14,CLE,-0.1394,0.4348,0.6377,8.4524,69
2022,14,DAL,-0.0244,0.4714,0.5714,8.3846,70
2022,14,DEN,-0.0962,0.3188,0.7246,5.25,69
2022,14,DET,0.2317,0.4493,0.5652,6.7179,69
2022,14,HOU,-0.1864,0.3968,0.4127,7.6154,63
2022,14,JAX,0.1714,0.4776,0.6418,7.0714,67
2022,14,KC,0.1011,0.4844,0.6875,7,64
2022,14,LA,-0.1155,0.3898,0.6441,8.4412,59
2022,14,LAC,0.0277,0.3947,0.7237,5.4118,76
2022,14,LV,0.0242,0.4483,0.3448,9.5,58
2022,14,MIA,-0.0826,0.3265,0.6122,12.1786,49
2022,14,MIN,0.0594,0.4286,0.7302,11.122,63
2022,14,NE,0.0182,0.4074,0.6667,4.9143,54
2022,14,NYG,-0.0595,0.4844,0.625,6.0625,64
2022,14,NYJ,-0.1687,0.3836,0.6986,7.7021,73
2022,14,PHI,0.3985,0.5077,0.5385,9.5806,65
2022,14,PIT,0.0182,0.4717,0.6226,10.7097,53
2022,14,SEA,-0.079,0.3774,0.7358,10.9444,53
2022,14,SF,0.1666,0.5172,0.3966,4.8696,58
2022,14,TB,-0.179,0.4384,0.7534,6.4545,73
2022,14,TEN,-0.1312,0.4762,0.6825,9.1053,63
2022,15,ARI,-0.3046,0.3,0.6667,6.5556,60
2022,15,ATL,-0.0044,0.4571,0.4286,9.1154,70
2022,15,BAL,-0.2221,0.4754,0.541,6.9333,61
2022,15,BUF,0.1928,0.5352,0.5915,10.7,71
2022,15,CAR,0.0391,0.3095,0.619,9.9091,42
2022,15,CHI,-0.1245,0.4561,0.4912,7.4545,57
2022,15,CIN,-0.0175,0.4918,0.6885,5.5,61
2022,15,CLE,0.0303,0.5082,0.5082,4.6071,61
2022,15,DAL,0.0451,0.5541,0.4459,8.6333,74
2022,15,DEN,-0.0494,0.5077,0.5077,4.4615,65
2022,15,DET,0.0349,0.4091,0.5758,5.2632,66
2022,15,GB,0.0614,0.5077,0.5077,4.8,65
2022,15,HOU,-0.1425,0.3214,0.5357,8.8276,56
2022,15,IND,-0.1802,0.4103,0.4615,7.7273,78
2022,15,JAX,0.1163,0.5714,0.6143,8.8333,70
2022,15,KC,0.1357,0.6104,0.5714,5.5366,77
2022,15,LA,-0.1085,0.3721,0.6047,4.619,43
2022,15,LAC,-0.065,0.5224,0.6418,8.15,67
2022,15,LV,-0.0654,0.3906,0.6406,12.7105,64
2022,15,MIA,0.1595,0.4483,0.569,8.2667,58
2022,15,MIN,-0.1284,0.4419,0.7326,8.0727,86
2022,15,NE,-0.1116,0.381,0.5079,9.4839,63
2022,15,NO,0.0523,0.5185,0.3889,10.6316,54
2022,15,NYG,0.0718,0.4746,0.5424,3.8125,59
2022,15,NYJ,-0.0666,0.3934,0.6393,14.0286,61
2022,15,PHI,0.0146,0.4286,0.5429,12.5946,70
2022,15,PIT,0.2295,0.5224,0.3433,7,67
2022,15,SEA,-0.2412,0.3934,0.7705,3.8182,61
2022,15,SF,0.2057,0.4138,0.4655,5.8462,58
2022,15,TB,-0.1056,0.4366,0.6479,7.1364,71
2022,15,TEN,-0.054,0.4286,0.5357,6.1923,56
2022,15,WAS,-0.0958,0.431,0.5517,11.2759,58
2022,16,ARI,-0.236,0.3014,0.6301,7.8222,73
2022,16,ATL,-0.1487,0.3676,0.5147,5.9394,68
2022,16,BAL,0.0125,0.449,0.3469,11.7059,49
2022,16,BUF,0.2171,0.5085,0.4746,11.3846,59
2022,16,CAR,0.4071,0.5469,0.3438,6.5455,64
